RecordId , DateTime , Site , ButterflyCount , Lat , Lon , WalkStage
182, 15/1/2017 2:05:00 PM, Argyle Square, 0, -37.8026, 144.9662,"2_1_3"
183, 15/1/2017 2:05:00 PM, Argyle Square, 0, -37.8026, 144.9662,"3_1_3"
184, 15/1/2017 2:05:00 PM, Argyle Square, 0, -37.8026, 144.9662,"4_1_3"
185, 15/1/2017 2:27:00 PM, Argyle Square, 1, -37.8025, 144.9663,"1_1_3"
186, 15/1/2017 2:27:00 PM, Argyle Square, 2, -37.8025, 144.9663,"2_1_3"
187, 15/1/2017 2:27:00 PM, Argyle Square, 1, -37.8025, 144.9663,"3_1_3"
188, 15/1/2017 2:27:00 PM, Argyle Square, 0, -37.8025, 144.9663,"4_1_3"
189, 15/1/2017 2:42:00 PM, Argyle Square, 0, -37.8027, 144.9663,"1_1_3"
190, 15/1/2017 2:42:00 PM, Argyle Square, 0, -37.8027, 144.9663,"2_1_3"
191, 15/1/2017 2:42:00 PM, Argyle Square, 0, -37.8027, 144.9663,"3_1_3"
192, 15/1/2017 2:42:00 PM, Argyle Square, 0, -37.8027, 144.9663,"4_1_3"
193, 11/2/2017 2:45:00 PM, Argyle Square, 0, -37.8021, 144.9653,"1_2_1"
194, 11/2/2017 2:45:00 PM, Argyle Square, 0, -37.8021, 144.9653,"2_2_1"
195, 11/2/2017 2:45:00 PM, Argyle Square, 0, -37.8021, 144.9653,"3_2_1"
196, 11/2/2017 2:45:00 PM, Argyle Square, 0, -37.8021, 144.9653,"4_2_1"
197, 11/2/2017 2:52:00 PM, Argyle Square, 0, -37.8025, 144.9662,"1_2_1"
198, 11/2/2017 2:52:00 PM, Argyle Square, 0, -37.8025, 144.9662,"2_2_1"
199, 11/2/2017 2:52:00 PM, Argyle Square, 0, -37.8025, 144.9662,"3_2_1"
200, 11/2/2017 2:52:00 PM, Argyle Square, 0, -37.8025, 144.9662,"4_2_1"
201, 11/2/2017 3:05:00 PM, Argyle Square, 0, -37.8027, 144.9657,"1_2_1"
202, 11/2/2017 3:05:00 PM, Argyle Square, 0, -37.8027, 144.9657,"2_2_1"
203, 11/2/2017 3:05:00 PM, Argyle Square, 0, -37.8027, 144.9657,"3_2_1"
204, 11/2/2017 3:05:00 PM, Argyle Square, 0, -37.8027, 144.9657,"4_2_1"
205, 12/1/2017 10:35:00 AM, Argyle Square, 0, -37.8026, 144.9665,"1_2_1"
206, 12/1/2017 10:35:00 AM, Argyle Square, 0, -37.8026, 144.9665,"2_2_1"
207, 12/1/2017 10:35:00 AM, Argyle Square, 0, -37.8026, 144.9665,"3_2_1"
208, 12/1/2017 10:35:00 AM, Argyle Square, 0, -37.8026, 144.9665,"4_2_1"
209, 12/1/2017 11:00:00 AM, Argyle Square, 0, -37.8019, 144.9652,"1_2_1"
210, 12/1/2017 11:00:00 AM, Argyle Square, 0, -37.8019, 144.9652,"2_2_1"
211, 12/1/2017 11:00:00 AM, Argyle Square, 0, -37.8019, 144.9652,"3_2_1"
212, 12/1/2017 11:00:00 AM, Argyle Square, 0, -37.8019, 144.9652,"4_2_1"
213, 12/1/2017 11:30:00 AM, Argyle Square, 0, -37.8022, 144.9657,"1_2_1"
214, 12/1/2017 11:30:00 AM, Argyle Square, 0, -37.8022, 144.9657,"2_2_1"
215, 12/1/2017 11:30:00 AM, Argyle Square, 0, -37.8022, 144.9657,"3_2_1"
216, 12/1/2017 11:30:00 AM, Argyle Square, 0, -37.8022, 144.9657,"4_2_1"
217, 12/1/2017 11:51:00 AM, Argyle Square, 0, -37.8025, 144.9656,"1_2_1"
218, 12/1/2017 11:51:00 AM, Argyle Square, 0, -37.8025, 144.9656,"2_2_1"
219, 12/1/2017 11:51:00 AM, Argyle Square, 0, -37.8025, 144.9656,"3_2_1"
220, 12/1/2017 11:51:00 AM, Argyle Square, 0, -37.8025, 144.9656,"4_2_1"
221, 11/2/2017 3:29:00 PM, Argyle Square, 0, -37.8032, 144.9658,"1_2_2"
222, 11/2/2017 3:29:00 PM, Argyle Square, 0, -37.8032, 144.9658,"2_2_2"
223, 11/2/2017 3:29:00 PM, Argyle Square, 0, -37.8032, 144.9658,"3_2_2"
224, 11/2/2017 3:29:00 PM, Argyle Square, 0, -37.8032, 144.9658,"4_2_2"
225, 11/2/2017 3:30:00 PM, Argyle Square, 0, -37.8032, 144.9656,"1_2_2"
226, 11/2/2017 3:30:00 PM, Argyle Square, 0, -37.8032, 144.9656,"2_2_2"
227, 11/2/2017 3:30:00 PM, Argyle Square, 0, -37.8032, 144.9656,"3_2_2"
228, 11/2/2017 3:30:00 PM, Argyle Square, 0, -37.8032, 144.9656,"4_2_2"
229, 12/1/2017 12:12:00 PM, Argyle Square, 0, -37.8033, 144.9657,"1_2_2"
230, 12/1/2017 12:12:00 PM, Argyle Square, 0, -37.8033, 144.9657,"2_2_2"
231, 12/1/2017 12:12:00 PM, Argyle Square, 0, -37.8033, 144.9657,"3_2_2"
232, 12/1/2017 12:12:00 PM, Argyle Square, 0, -37.8033, 144.9657,"4_2_2"
233, 12/1/2017 12:29:00 PM, Argyle Square, 0, -37.8049, 144.9634,"1_2_3"
234, 12/1/2017 12:29:00 PM, Argyle Square, 0, -37.8049, 144.9634,"2_2_3"
235, 12/1/2017 12:29:00 PM, Argyle Square, 0, -37.8049, 144.9634,"3_2_3"
236, 12/1/2017 12:29:00 PM, Argyle Square, 0, -37.8049, 144.9634,"4_2_3"
237, 12/1/2017 1:00:00 PM, Argyle Square, 0, -37.8032, 144.9657,"1_2_3"
238, 12/1/2017 1:00:00 PM, Argyle Square, 0, -37.8032, 144.9657,"2_2_3"
239, 12/1/2017 1:00:00 PM, Argyle Square, 0, -37.8032, 144.9657,"3_2_3"
240, 12/1/2017 1:00:00 PM, Argyle Square, 0, -37.8032, 144.9657,"4_2_3"
241, 12/1/2017 1:26:00 PM, Argyle Square, 0, -37.8032, 144.9667,"1_2_3"
242, 12/1/2017 1:26:00 PM, Argyle Square, 0, -37.8032, 144.9667,"2_2_3"
243, 12/1/2017 1:26:00 PM, Argyle Square, 0, -37.8032, 144.9667,"3_2_3"
244, 12/1/2017 1:26:00 PM, Argyle Square, 0, -37.8032, 144.9667,"4_2_3"
245, 12/1/2017 1:47:00 PM, Argyle Square, 0, -37.8028, 144.9664,"1_2_3"
246, 12/1/2017 1:47:00 PM, Argyle Square, 0, -37.8028, 144.9664,"2_2_3"
247, 12/1/2017 1:47:00 PM, Argyle Square, 0, -37.8028, 144.9664,"3_2_3"
248, 12/1/2017 1:47:00 PM, Argyle Square, 0, -37.8028, 144.9664,"4_2_3"
249, 12/1/2017 2:07:00 PM, Argyle Square, 0, -37.8029, 144.966,"1_2_3"
250, 12/1/2017 2:07:00 PM, Argyle Square, 0, -37.8029, 144.966,"2_2_3"
251, 12/1/2017 2:07:00 PM, Argyle Square, 0, -37.8029, 144.966,"3_2_3"
252, 12/1/2017 2:07:00 PM, Argyle Square, 0, -37.8029, 144.966,"4_2_3"
253, 12/1/2017 2:26:00 PM, Argyle Square, 0, -37.8027, 144.9662,"1_2_3"
254, 12/1/2017 2:26:00 PM, Argyle Square, 0, -37.8027, 144.9662,"2_2_3"
255, 12/1/2017 2:26:00 PM, Argyle Square, 0, -37.8027, 144.9662,"3_2_3"
256, 12/1/2017 2:26:00 PM, Argyle Square, 0, -37.8027, 144.9662,"4_2_3"
257, 2/3/2017 10:58:00 AM, Carlton Gardens South, 0, -37.8055, 144.9718,"1_1_1"
258, 2/3/2017 10:58:00 AM, Carlton Gardens South, 0, -37.8055, 144.9718,"2_1_1"
259, 2/3/2017 10:58:00 AM, Carlton Gardens South, 0, -37.8055, 144.9718,"3_1_1"
260, 2/3/2017 10:58:00 AM, Carlton Gardens South, 0, -37.8055, 144.9718,"4_1_1"
261, 2/3/2017 11:03:00 AM, Carlton Gardens South, 0, -37.8054, 144.9718,"1_1_1"
262, 2/3/2017 11:03:00 AM, Carlton Gardens South, 0, -37.8054, 144.9718,"2_1_1"
263, 2/3/2017 11:03:00 AM, Carlton Gardens South, 0, -37.8054, 144.9718,"3_1_1"
264, 2/3/2017 11:03:00 AM, Carlton Gardens South, 0, -37.8054, 144.9718,"4_1_1"
265, 2/3/2017 11:18:00 AM, Carlton Gardens South, 0, -37.8056, 144.9751,"1_1_1"
266, 2/3/2017 11:18:00 AM, Carlton Gardens South, 0, -37.8056, 144.9751,"2_1_1"
267, 2/3/2017 11:18:00 AM, Carlton Gardens South, 0, -37.8056, 144.9751,"3_1_1"
268, 2/3/2017 11:18:00 AM, Carlton Gardens South, 0, -37.8056, 144.9751,"4_1_1"
269, 2/3/2017 11:22:00 AM, Carlton Gardens South, 0, -37.8055, 144.9716,"1_1_1"
270, 2/3/2017 11:22:00 AM, Carlton Gardens South, 0, -37.8055, 144.9716,"2_1_1"
271, 2/3/2017 11:22:00 AM, Carlton Gardens South, 0, -37.8055, 144.9716,"3_1_1"
272, 2/3/2017 11:22:00 AM, Carlton Gardens South, 0, -37.8055, 144.9716,"4_1_1"
273, 2/3/2017 11:25:00 AM, Carlton Gardens South, 1, -37.8053, 144.9718,"1_1_1"
274, 2/3/2017 11:25:00 AM, Carlton Gardens South, 0, -37.8053, 144.9718,"2_1_1"
275, 2/3/2017 11:25:00 AM, Carlton Gardens South, 0, -37.8053, 144.9718,"3_1_1"
276, 2/3/2017 11:25:00 AM, Carlton Gardens South, 0, -37.8053, 144.9718,"4_1_1"
277, 2/3/2017 11:29:00 AM, Carlton Gardens South, 0, -37.8053, 144.9717,"1_1_1"
278, 2/3/2017 11:29:00 AM, Carlton Gardens South, 0, -37.8053, 144.9717,"2_1_1"
279, 2/3/2017 11:29:00 AM, Carlton Gardens South, 0, -37.8053, 144.9717,"3_1_1"
280, 2/3/2017 11:29:00 AM, Carlton Gardens South, 0, -37.8053, 144.9717,"4_1_1"
281, 2/3/2017 11:43:00 AM, Carlton Gardens South, 0, -37.8052, 144.9716,"1_1_1"
